No,city,city2,hp1,hp2,h_mean,e_mean,s_mean,ed_mean,sf_mean,l_mean,en_mean,hp3
59,인천광역시,옹진군,b,0.4052,0.1772,0.3745,0.276,0.5987,0.755,0.5264,0.5139,0.9803
60,광주광역시,동구,a,0.6208,0.8355,0.586,0.4808,0.6093,0.2974,0.6748,0.5641,0.6127
61,광주광역시,서구,b,0.5468,0.7003,0.4646,0.5386,0.7607,0.3045,0.3163,0.48,0.314
62,광주광역시,남구,a,0.5372,0.6913,0.1891,0.7109,0.6859,0.3902,0.4459,0.6024,0.5694
63,광주광역시,북구,b,0.4835,0.5237,0.2865,0.7926,0.6689,0.1966,0.472,0.7149,0.4756
64,광주광역시,광산구,c,0.4431,0.4107,0.4107,0.6661,0.7236,0.1435,0.3659,0.676,0.4507
65,대전광역시,동구,d,0.4377,0.615,0.2084,0.466,0.7541,0.0392,0.2359,0.6414,0.156
66,대전광역시,중구,a,0.5682,0.8593,0.3407,0.6778,0.6226,0.1405,0.3258,0.6457,0.2935
67,대전광역시,서구,a,0.5625,0.7111,0.4407,0.2432,1,0.3141,0.2666,0.6546,0.5377
68,대전광역시,유성구,a,0.6076,0.635,0.5779,0.5762,0.968,0.3601,0.4697,0.7096,0.9046
69,대전광역시,대덕구,d,0.4655,0.4975,0.5136,0.5909,0.8592,0.18,0.4418,0.2606,0.1461
70,울산광역시,중구,c,0.4424,0.3388,0.3613,0.6615,0.6832,0.4789,0.3197,0.5284,0.3973
71,울산광역시,남구,a,0.5461,0.5059,0.7907,0.567,0.8894,0.5006,0.3988,0.0733,0.4764
72,울산광역시,동구,b,0.5202,0.4507,0.6519,0.4644,0.7956,0.4477,0.3528,0.5184,0.3986
73,울산광역시,북구,b,0.4811,0.2201,0.7063,0.886,0.7281,0.4291,0.4658,0.5107,0.534
74,울산광역시,울주군,a,0.5998,0.5847,0.7027,0.8033,0.7199,0.529,0.555,0.3364,0.5536
75,세종특별자치시,세종시,c,0.3914,0.232,0.5119,0.6737,0.587,0.1578,0.4478,0.6524,0.9077
76,경기도,수원시,b,0.4786,0.3975,0.4787,0.6117,0.7801,0.4344,0.3505,0.4935,0.509
77,경기도,성남시,a,0.5348,0.5489,0.5456,0.5492,0.7748,0.3541,0.324,0.6296,0.7403
78,경기도,의정부시,c,0.5007,0.5362,0.3016,0.5723,0.8666,0.3894,0.205,0.6434,0.1031
79,경기도,안양시,a,0.5168,0.4105,0.5658,0.7167,0.8866,0.4114,0.3354,0.5422,0.6081
80,경기도,부천시,c,0.4829,0.5367,0.4546,0.7119,0.5391,0.4468,0.1534,0.3525,0.2592
81,경기도,광명시,b,0.4777,0.3612,0.3779,0.9014,0.7989,0.4316,0.2223,0.6023,0.5261
82,경기도,평택시,e,0.3239,0.1359,0.605,0.3863,0.655,0.2515,0.2951,0.245,0.1617
83,경기도,동두천시,d,0.4757,0.7414,0.2125,0.4181,0.4777,0.2929,0.2116,0.5047,0.0158
84,경기도,안산시,e,0.402,0.2814,0.551,0.3177,0.6281,0.4194,0.2747,0.4483,0.1039
85,경기도,고양시,c,0.443,0.3542,0.4146,0.7029,0.7661,0.2593,0.2897,0.6464,0.4211
86,경기도,과천시,a,0.6183,0.495,0.6877,0.92,0.7262,0.5269,0.5638,0.7482,0.9464
87,경기도,구리시,b,0.5199,0.567,0.4192,0.6446,0.6839,0.4206,0.252,0.5781,0.3452
88,경기도,남양주시,e,0.3663,0.1406,0.3032,0.8731,0.6473,0.2716,0.309,0.7385,0.3529
89,경기도,오산시,d,0.4136,0.2476,0.4448,0.568,0.74,0.4564,0.3735,0.4327,0.1828
90,경기도,시흥시,d,0.4134,0.2895,0.6114,0.4479,0.6935,0.3102,0.4324,0.3514,0.2386
91,경기도,군포시,a,0.5147,0.3599,0.469,0.9343,0.8557,0.4638,0.3326,0.6277,0.7367
92,경기도,의왕시,b,0.4905,0.3316,0.4296,0.8661,0.8337,0.4408,0.3558,0.6481,0.6721
93,경기도,하남시,d,0.3575,0.221,0.4264,0.5394,0.426,0.1968,0.2935,0.7839,0.7569
94,경기도,용인시,b,0.459,0.2603,0.4828,0.8206,0.8399,0.399,0.2485,0.642,0.7721
95,경기도,파주시,d,0.4072,0.3232,0.5031,0.8055,0.5562,0.1751,0.466,0.4036,0.3401
