Figure 1.1.1. Chinese Equity Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. A-Share Price/Earnings Ratios,,,,,,,,,2. China: Equity Market Valuations Relative to Peers,,,,,3. China: Outstanding Amount of Margin Lending for Equities,,,,,4. Liquidity of Securities Firms,,,,,,,,,,5. Securities Firms’ Leverage,,,,,,,,,,,,,,,6. Trading Status of All A-Shares,,,,
   (Distribution; percent),,,,,,,,,    (Percent premium over peers),,,,,,,,,,    (Cash as a percentage of short-term debt),,,,,,,,,,    (Total common equity as a percentage of assets),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<0,0-10,42328,20-50,50-100,100-200,>200,,,,Emerging markets,Advanced economies,,,"Balance of margin purchase and short sale (billion renminbi, left scale)","Margin purchases (percent of total free-float market capitalization, right scale)",,,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,,,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,,,Suspended,Limit-up,Limit-down,Other traded A-shares
11/28/2013,14.55,4.84,14.22,36.08,17.8,7.64,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2013,14.55,4.84,14.18,35.88,17.76,7.92,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2013,14.55,5.28,14.87,36.73,17.27,6.99,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2013,14.55,5.04,14.43,37.18,17.11,7.19,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2013,14.55,4.92,13.9,37.46,17.23,7.48,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/2013,14.55,4.88,13.98,37.87,16.66,7.64,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/2013,14.55,4.84,14.02,37.99,16.62,7.52,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/2013,14.55,4.79,13.9,37.55,17.07,7.72,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/2013,14.55,4.84,13.65,37.67,17.35,7.56,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2013,14.55,4.88,14.14,37.3,17.43,7.35,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2013,14.55,4.88,14.06,37.51,17.07,7.52,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/13/2013,14.55,4.88,13.9,37.34,17.31,7.6,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2013,14.55,5.08,14.02,37.26,17.27,7.48,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2013,14.55,5.12,14.1,37.55,17.11,7.23,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2013,14.55,5.2,14.1,37.51,17.03,7.27,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2013,14.55,5.53,13.86,37.59,16.94,7.27,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/20/2013,14.54,5.73,14.3,37.33,16.69,7.19,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
