,0,1
194,농암점,경상북도 문경시 농암면 청암2길 10
195,능곡점,경기도 고양시덕양구 토당로78번길 7-10(토당동)
196,능주점,전라남도 화순군 능주면 죽수길50
197,다운점,울산광역시 중구 다운동 505-4
198,다인점,경상북도 의성군 다인면 서릉길 59
199,단계점,강원도 원주시 원문로 85 1층(학성동)
200,단계택지점,강원도 원주시 금불3길 34(단계동)
201,단관점,강원도 원주시 단관길 163(관설동)
202,단구점,강원도 원주시 치악로 1629 (단구동)
203,단월동점,경기도 이천시 단월로 29(단월동)
204,달동1점,울산광역시 남구 달동 1329-9
205,달동2점,"울산광역시 남구 번영로107번길 3, 203(달동, 주공아파트)"
206,달전점,경상북도 포항시북구 흥해읍 도음로877번길 9 삼도미래타운106-106
207,답십리점,"서울특별시 동대문구 전농로3길 52-2, 1층(답십리동)"
208,당감점,부산광역시 부산진구 당감동 739-10
209,당북점,경상북도 안동시 대안로 65-2
210,당산동점,서울특별시 영등포구 영중로 114 (영등포동8가)
211,당수동점,경기도 수원시권선구 당진로 14번길 57 상가 105(당수동)
212,당진1점,충청남도 당진시 당진중앙2로 54-5
213,당진2점,충청남도 당진시 무수동로 195
214,당진3점,충청남도 당진시 원당로 55(원당동)
215,당진신평점,충청남도 당진시 신평면 신평로 827
216,대강점,충청북도 단양군 대강면 대강로 59-1
217,대고점,"대전광역시 중구 테미로 31-1(대흥동, 1층)"
218,대광리점,경기도 연천군 신서면 도대로 3번길 33호
219,대구고성점,대구광역시 서구 원대로13길 16
220,대구남산점,대구광역시 중구 남산로2길 13(남산동)
221,대구대명점,대구광역시 남구 두류공원로17길 48 (지하1층)
222,대구상동점,대구광역시 수성구 중동 502-3
223,대구서문점,대구광역시 서구 비산동 280-8
224,대구송정점,대구광역시 동구 반야월로 379(신서동)
225,대구신당점,대구광역시 달서구 신당동 1808-5
226,대구지사,   
227,대구지산점,대구광역시 수성구 용학로35길 17
228,대림동산점,경기도 안성시 공도읍 양기리567-1
229,대림역점,서울특별시 구로구 구로중앙로8길 17
230,대림점,서울특별시 영등포구 대림로34길 14-1
231,대명계대점,대구광역시 남구 대명동 1899-2
232,대방동점,서울특별시 동작구 대방동 23-128
233,대봉점,대구광역시 중구 대봉동 121-241
234,대산점,충청남도 서산시 대산읍 대산리 214-10
235,대소점,충청북도 음성군 대소면 오태로99번길 12-4
236,대송점,울산광역시 동구 화정동 164-11
237,대신점,경기도 여주시 대신면 여양로 1456-4
238,대연점,부산광역시 남구 천제등로28번길 50
239,대우점,인천광역시 부평구 산곡동 26-44 1층
240,대전용문점,대전광역시 서구 괴정동 425-16
241,대전지사,   
242,대전터미널점,대전광역시 동구 동서대로1695번길 106
243,대조동점,서울특별시 은평구 역말로9길 40-1. 1층(대조동)
244,대진점,강원도 고성군 현내면 한나루로 112-1
245,대천해수욕장점,충청남도 보령시 해수욕장4길 68(신흑동)
246,대치동점,서울특별시 강남구 남부순환로 2917 (1층 108호)
247,대학로점,강원도 삼척시 대학로 45(당저동)
248,대화장성점,경기도 고양시일산서구 호수로 838번지 22
249,대화점(강원),강원도 평창군 대화면 대화3길 46
250,덕산점,충청북도 진천군 덕산면 덕금로 809
251,덕절리점,경기도 화성시 정남면 발안로 1177
252,덕정점,경기도 양주시 덕정길 23
253,덕천점,경기도 안양시만안구 덕천로128번길 18(안양동)
254,덕풍동점,"경기도 하남시 신장동 430-7 성원쌍떼빌 104호, 105호"
255,도고점,충청남도 아산시 도고면 신언리 96-10
256,도구점,경상북도 포항시남구 동해면 일월로 116
257,도당점,경기도 부천시원미구 도당동 284-15 1층
258,도련점,"제주특별자치도 제주시 삼봉로 115, 미듬하나로맨션상가 103"
259,도림주공점,인천광역시 남동구 논고개로 299
260,도립대점,강원도 강릉시  주문진읍 연주로 261-1
261,도마점,대전광역시 서구 도마1동 129-30
262,도봉점,"서울특별시 도봉구 도봉로164길 10(도봉동, 1층)"
263,도안지구점,대전광역시 유성구 원신흥남로11번 6-22 (102호)
264,도영점,강원도 원주시 남원로 527번길 6-34(명륜동)
265,도평점,경기도 광주시 초월읍 현산로 89-6
266,도화동점,서울특별시 마포구 도화동 268
267,독립문점,서울특별시 종로구 통일로 222(교북동)
268,독산1점,"서울특별시 금천구 가산로 80-2, 지상1층(독산동)"
269,독산3점,서울특별시 금천구 독산로 319 (독산동)
270,동광양점,전라남도 광양시 중마로 201
271,동대동점,충청남도 보령시 작은오랏2길 60-6
272,동두천역전점,경기도 동두천시 생연로 120
